ArrayExpress.Accession	PubMed.ID	ForeName LastName	order
E-GEOD-43631	25017070	Ursula Ehmer	1
E-GEOD-43631	25017070	Anne-Flore Zmoos	2
E-GEOD-43631	25017070	Raymond K Auerbach	3
E-GEOD-43631	25017070	Dedeepya Vaka	4
E-GEOD-43631	25017070	Atul J Butte	5
E-GEOD-43631	25017070	Mark A Kay	6
E-GEOD-43631	25017070	Julien Sage	7
E-GEOD-46664	24571983	Min Chen	1
E-GEOD-46664	24571983	Xiaona Wang	2
E-GEOD-46664	24571983	Yanbo Wang	3
E-GEOD-46664	24571983	Lianjun Zhang	4
E-GEOD-46664	24571983	Binyang Xu	5
E-GEOD-46664	24571983	Limin Lv	6
E-GEOD-46664	24571983	Xiuhong Cui	7
E-GEOD-46664	24571983	Wei Li	8
E-GEOD-46664	24571983	Fei Gao	9
E-GEOD-47395	25136103	Sanchita Bhatnagar	1
E-GEOD-47395	25136103	Xiaochun Zhu	2
E-GEOD-47395	25136103	Jianhong Ou	3
E-GEOD-47395	25136103	Ling Lin	4
E-GEOD-47395	25136103	Lynn Chamberlain	5
E-GEOD-47395	25136103	Lihua J Zhu	6
E-GEOD-47395	25136103	Narendra Wajapeyee	7
E-GEOD-47395	25136103	Michael R Green	8
E-GEOD-49555	25515659	Kostas C Nikolaou	1
E-GEOD-49555	25515659	Panagiotis Moulos	2
E-GEOD-49555	25515659	George Chalepakis	3
E-GEOD-49555	25515659	Pantelis Hatzis	4
E-GEOD-49555	25515659	Hisanobu Oda	5
E-GEOD-49555	25515659	Danny Reinberg	6
E-GEOD-49555	25515659	Iannis Talianidis	7
E-GEOD-49949	24161570	Abby L Manthey	1
E-GEOD-49949	24161570	Salil A Lachke	2
E-GEOD-49949	24161570	Paul G FitzGerald	3
E-GEOD-49949	24161570	Robert W Mason	4
E-GEOD-49949	24161570	David A Scheiblin	5
E-GEOD-49949	24161570	John H McDonald	6
E-GEOD-49949	24161570	Melinda K Duncan	7
E-GEOD-51008	25043028	Arianna Sabò	1
E-GEOD-51008	25043028	Theresia R Kress	2
