PubMed.ID	ArrayExpress.Accession	Title	Abstract	Journal	JournalAbbr	Year
24161570	E-GEOD-49949	Loss of Sip1 leads to migration defects and retention of ectodermal markers during lens development.	SIP1 encodes a DNA-binding transcription factor that regulates multiple developmental processes, as highlighted by the pleiotropic defects observed in Mowat-Wilson syndrome, which results from mutations in this gene. Further, in adults, dysregulated SIP1 expression has been implicated in both cancer and fibrotic diseases, where it functionally links TGFβ signaling to the loss of epithelial cell characteristics and gene expression. In the ocular lens, an epithelial tissue important for vision, Sip1 is co-expressed with epithelial markers, such as E-cadherin, and is required for the complete separation of the lens vesicle from the head ectoderm during early ocular morphogenesis. However, the function of Sip1 after early lens morphogenesis is still unknown. Here, we conditionally deleted Sip1 from the developing mouse lens shortly after lens vesicle closure, leading to defects in coordinated fiber cell tip migration, defective suture formation, and cataract. Interestingly, RNA-Sequencing analysis on Sip1 knockout lenses identified 190 differentially expressed genes, all of which are distinct from previously described Sip1 target genes. Furthermore, 34% of the genes with increased expression in the Sip1 knockout lenses are normally downregulated as the lens transitions from the lens vesicle to early lens, while 49% of the genes with decreased expression in the Sip1 knockout lenses are normally upregulated during early lens development. Overall, these data imply that Sip1 plays a major role in reprogramming the lens vesicle away from a surface ectoderm cell fate towards that necessary for the development of a transparent lens and demonstrate that Sip1 regulates distinctly different sets of genes in different cellular contexts.	Mechanisms of development	Mech. Dev.	2013
24571983	E-GEOD-46664	Wt1 is involved in leydig cell steroid hormone biosynthesis by regulating paracrine factor expression in mice.	Wilms tumor gene, Wt1, is abundantly expressed in testis Sertoli cells. Our recent study demonstrated that Wt1 is involved in spermatogenesis by regulating Sertoli cell polarity. In the present study, we found that Wt1 is also required for steroidogenesis in Leydig cells and that deletion of the Wt1 gene resulted in defects in testosterone biosynthesis and downregulation of steroidogenic gene expression, including cytochrome P450 side-chain cleavage (P450scc), steroidogenic acute regulatory protein (StAR), 3beta-hydroxysteroid dehydrogenase I (3beta-HSD), and cytochrome P450 17A1 (Cyp17a1). The expression of LHR was significantly decreased in Wt1(-/flox); Cre-ER(TM) testes after tamoxifen induction, whereas the luteinizing hormone level in serum was unchanged. Further studies revealed that desert hedgehog (Dhh) expression was regulated by Wt1 in Sertoli cells and that its expression was significantly reduced in Wt1-deficient testes. In vitro study demonstrated that the defect in testosterone production and decreased expression of several steroidogenic genes in Wt1-deficient testis explants was partially rescued by smoothened agonist (SAG), a hedgehog pathway agonist. These results indicate that Wt1 is most likely involved in Leydig cell steroidogenesis by regulating the expression of paracrine factors in seminiferous tubules. Dhh probably had important roles in this process, but we could not exclude the possibility that other factors were also required for Leydig cell steroidogenesis. Loss of Wt1 leads to downregulation of paracrine factors, which in turn causes a decrease in steroidogenic enzyme expression and reduces testosterone production in Leydig cells. The results of this study further confirm that the cross talk between Sertoli cells and Leydig cells has important roles in Leydig cell steroidogenesis.	Biology of reproduction	Biol. Reprod.	2014
24745332	E-GEOD-56018	Small-molecule RORγt antagonists inhibit T helper 17 cell transcriptional network by divergent mechanisms.	We identified three retinoid-related orphan receptor gamma t (RORγt)-specific inhibitors that suppress T helper 17 (Th17) cell responses, including Th17-cell-mediated autoimmune disease. We systemically characterized RORγt binding in the presence and absence of drugs with corresponding whole-genome transcriptome sequencing. RORγt acts as a direct activator of Th17 cell signature genes and a direct repressor of signature genes from other T cell lineages; its strongest transcriptional effects are on cis-regulatory sites containing the RORα binding motif. RORγt is central in a densely interconnected regulatory network that shapes the balance of T cell differentiation. Here, the three inhibitors modulated the RORγt-dependent transcriptional network to varying extents and through distinct mechanisms. Whereas one inhibitor displaced RORγt from its target loci, the other two inhibitors affected transcription predominantly without removing DNA binding. Our work illustrates the power of a system-scale analysis of transcriptional regulation to characterize potential therapeutic compounds that inhibit pathogenic Th17 cells and suppress autoimmunity.	Immunity	Immunity	2014
24812086	E-GEOD-55376	DICER1 is essential for survival of postmitotic rod photoreceptor cells in mice.	Photoreceptor cell death is the proximal cause of blindness in many retinal degenerative disorders; hence, understanding the gene regulatory networks that promote photoreceptor survival is at the forefront of efforts to combat blindness. Down-regulation of the microRNA (miRNA)-processing enzyme DICER1 in the retinal pigmented epithelium has been implicated in geographic atrophy, an advanced form of age-related macular degeneration (AMD). However, little is known about the function of DICER1 in mature rod photoreceptor cells, another retinal cell type that is severely affected in AMD. Using a conditional-knockout (cKO) mouse model, we report that loss of DICER1 in mature postmitotic rods leads to robust retinal degeneration accompanied by loss of visual function. At 14 wk of age, cKO mice exhibit a 90% reduction in photoreceptor nuclei and a 97% reduction in visual chromophore compared with those in control littermates. Before degeneration, cKO mice do not exhibit significant defects in either phototransduction or the visual cycle, suggesting that miRNAs play a primary role in rod photoreceptor survival. Using comparative small RNA sequencing analysis, we identified rod photoreceptor miRNAs of the miR-22, miR-26, miR-30, miR-92, miR-124, and let-7 families as potential factors involved in regulating the survival of rods.	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	FASEB J.	2014
24812086	E-GEOD-55377	DICER1 is essential for survival of postmitotic rod photoreceptor cells in mice.	Photoreceptor cell death is the proximal cause of blindness in many retinal degenerative disorders; hence, understanding the gene regulatory networks that promote photoreceptor survival is at the forefront of efforts to combat blindness. Down-regulation of the microRNA (miRNA)-processing enzyme DICER1 in the retinal pigmented epithelium has been implicated in geographic atrophy, an advanced form of age-related macular degeneration (AMD). However, little is known about the function of DICER1 in mature rod photoreceptor cells, another retinal cell type that is severely affected in AMD. Using a conditional-knockout (cKO) mouse model, we report that loss of DICER1 in mature postmitotic rods leads to robust retinal degeneration accompanied by loss of visual function. At 14 wk of age, cKO mice exhibit a 90% reduction in photoreceptor nuclei and a 97% reduction in visual chromophore compared with those in control littermates. Before degeneration, cKO mice do not exhibit significant defects in either phototransduction or the visual cycle, suggesting that miRNAs play a primary role in rod photoreceptor survival. Using comparative small RNA sequencing analysis, we identified rod photoreceptor miRNAs of the miR-22, miR-26, miR-30, miR-92, miR-124, and let-7 families as potential factors involved in regulating the survival of rods.	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	FASEB J.	2014
24991935	E-GEOD-54631	Novel bioinformatics method for identification of genome-wide non-canonical spliced regions using RNA-Seq data.	SETTING: During endoplasmic reticulum (ER) stress, the endoribonuclease (RNase) Ire1α initiates removal of a 26 nt region from the mRNA encoding the transcription factor Xbp1 via an unconventional mechanism (atypically within the cytosol). This causes an open reading frame-shift that leads to altered transcriptional regulation of numerous downstream genes in response to ER stress as part of the unfolded protein response (UPR). Strikingly, other examples of targeted, unconventional splicing of short mRNA regions have yet to be reported.OBJECTIVE: Our goal was to develop an approach to identify non-canonical, possibly very short, splicing regions using RNA-Seq data and apply it to ER stress-induced Ire1α heterozygous and knockout mouse embryonic fibroblast (MEF) cell lines to identify additional Ire1α targets.RESULTS: We developed a bioinformatics approach called the Read-Split-Walk (RSW) pipeline, and evaluated it using two Ire1α heterozygous and two Ire1α-null samples. The 26 nt non-canonical splice site in Xbp1 was detected as the top hit by our RSW pipeline in heterozygous samples but not in the negative control Ire1α knockout samples. We compared the Xbp1 results from our approach with results using the alignment program BWA, Bowtie2, STAR, Exonerate and the Unix &quot;grep&quot; command. We then applied our RSW pipeline to RNA-Seq data from the SKBR3 human breast cancer cell line. RSW reported a large number of non-canonical spliced regions for 108 genes in chromosome 17, which were identified by an independent study.CONCLUSIONS: We conclude that our RSW pipeline is a practical approach for identifying non-canonical splice junction sites on a genome-wide level. We demonstrate that our pipeline can detect novel splice sites in RNA-Seq data generated under similar conditions for multiple species, in our case mouse and human.	PloS one	PLoS ONE	2014
25002228	E-GEOD-58498	miRNAs 182 and 183 are necessary to maintain adult cone photoreceptor outer segments and visual function.	The outer segments of cones serve as light detectors for daylight color vision, and their dysfunction leads to human blindness conditions. We show that the cone-specific disruption of DGCR8 in adult mice led to the loss of miRNAs and the loss of outer segments, resulting in photoreceptors with significantly reduced light responses. However, the number of cones remained unchanged. The loss of the outer segments occurred gradually over 1 month, and during this time the genetic signature of cones decreased. Reexpression of the sensory-cell-specific miR-182 and miR-183 prevented outer segment loss. These miRNAs were also necessary and sufficient for the formation of inner segments, connecting cilia and short outer segments, as well as light responses in stem-cell-derived retinal cultures. Our results show that miR-182- and miR-183-regulated pathways are necessary for cone outer segment maintenance in vivo and functional outer segment formation in vitro.	Neuron	Neuron	2014
25002492	E-GEOD-57396	Tif1γ regulates the TGF-β1 receptor and promotes physiological aging of hematopoietic stem cells.	The hematopoietic system declines with age. Myeloid-biased differentiation and increased incidence of myeloid malignancies feature aging of hematopoietic stem cells (HSCs), but the mechanisms involved remain uncertain. Here, we report that 4-mo-old mice deleted for transcription intermediary factor 1γ (Tif1γ) in HSCs developed an accelerated aging phenotype. To reinforce this result, we also show that Tif1γ is down-regulated in HSCs during aging in 20-mo-old wild-type mice. We established that Tif1γ controls TGF-β1 receptor (Tgfbr1) turnover. Compared with young HSCs, Tif1γ(-/-) and old HSCs are more sensitive to TGF-β signaling. Importantly, we identified two populations of HSCs specifically discriminated by Tgfbr1 expression level and provided evidence of the capture of myeloid-biased (Tgfbr1(hi)) and myeloid-lymphoid-balanced (Tgfbr1(lo)) HSCs. In conclusion, our data provide a new paradigm for Tif1γ in regulating the balance between lymphoid- and myeloid-derived HSCs through TGF-β signaling, leading to HSC aging.	Proceedings of the National Academy of Sciences of the United States of America	Proc. Natl. Acad. Sci. U.S.A.	2014
25008173	E-GEOD-54154	Regulation of inflammatory phenotype in macrophages by a diabetes-induced long noncoding RNA.	The mechanisms by which macrophages mediate the enhanced inflammation associated with diabetes complications are not completely understood. We used RNA sequencing to profile the transcriptome of bone marrow macrophages isolated from diabetic db/db mice and identified 1,648 differentially expressed genes compared with control db/+ mice. Data analyses revealed that diabetes promoted a proinflammatory, profibrotic, and dysfunctional alternatively activated macrophage phenotype possibly via transcription factors involved in macrophage function. Notably, diabetes altered levels of several long noncoding RNAs (lncRNAs). Because the role of lncRNAs in diabetes complications is unknown, we further characterized the function of lncRNA E330013P06, which was upregulated in macrophages from db/db and diet-induced insulin-resistant type 2 diabetic (T2D) mice, but not from type 1 diabetic mice. It was also upregulated in monocytes from T2D patients. E330013P06 was also increased along with inflammatory genes in mouse macrophages treated with high glucose and palmitic acid. E330013P06 overexpression in macrophages induced inflammatory genes, enhanced responses to inflammatory signals, and increased foam cell formation. In contrast, small interfering RNA-mediated E330013P06 gene silencing inhibited inflammatory genes induced by the diabetic stimuli. These results define the diabetic macrophage transcriptome and novel functional roles for lncRNAs in macrophages that could lead to lncRNA-based therapies for inflammatory diabetes complications.	Diabetes	Diabetes	2014
25017070	E-GEOD-43631	Organ size control is dominant over Rb family inactivation to restrict proliferation in vivo.	In mammals, a cell's decision to divide is thought to be under the control of the Rb/E2F pathway. We previously found that inactivation of the Rb family of cell cycle inhibitors (Rb, p107, and p130) in quiescent liver progenitors leads to uncontrolled division and cancer initiation. Here, we show that, in contrast, deletion of the entire Rb gene family in mature hepatocytes is not sufficient for their long-term proliferation. The cell cycle block in Rb family mutant hepatocytes is independent of the Arf/p53/p21 checkpoint but can be abrogated upon decreasing liver size. At the molecular level, we identify YAP, a transcriptional regulator involved in organ size control, as a factor required for the sustained expression of cell cycle genes in hepatocytes. These experiments identify a higher level of regulation of the cell cycle in vivo in which signals regulating organ size are dominant regulators of the core cell cycle machinery.	Cell reports	Cell Rep	2014
